,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital,595,598,600,603,694,773,775
Reserves,"17,102","20,049","23,243","26,085","34,054","42,727","47,252"
Borrowings,"117,996","149,026","189,928","242,189","262,781","307,193","340,673"
Other Liabilities,"7,205","8,976","7,856","8,944","9,700","12,210","13,268"
Total Liabilities,"142,898","178,650","221,628","277,821","307,229","362,903","401,967"
Fixed Assets,"1,218","1,307","1,313","1,688","1,792","1,801","1,834"
CWIP,37,28,25,22,79,75,95
Investments,"34,056","36,704","50,078","59,268","59,938","69,653","70,930"
Other Assets,"107,587","140,611","170,211","216,843","245,419","291,374","329,109"
Total Assets,"142,898","178,650","221,628","277,821","307,229","362,903","401,967"
