Balance Sheet of HDFC Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
,12 mths,12 mths,12 mths,12 mths,12 mths,
EQUITIES AND LIABILITIES,,,,,,
SHAREHOLDER'S FUNDS,,,,,,
Equity Share Capital,554.55,551.28,548.33,544.66,519.02,
Total Share Capital,554.55,551.28,548.33,544.66,519.02,
Revaluation Reserve,0.00,0.00,0.00,0.00,0.00,
Reserves and Surplus,"239,538.38","203,169.55","170,437.70","148,661.69","105,775.98",
Total Reserves and Surplus,"239,538.38","203,169.55","170,437.70","148,661.69","105,775.98",
Total ShareHolders Funds,"240,092.94","203,720.83","170,986.03","149,206.35","106,295.00",
Deposits,"1,559,217.44","1,335,060.22","1,147,502.29","923,140.93","788,770.64",
Borrowings,"184,817.21","135,487.32","144,628.54","117,085.12","123,104.97",
Other Liabilities and Provisions,"84,407.46","72,602.15","67,394.40","55,108.29","45,763.72",
Total Capital and Liabilities,"2,068,535.05","1,746,870.52","1,530,511.26","1,244,540.69","1,063,934.32",
ASSETS,,,,,,
Cash and Balances with Reserve Bank of India,"129,995.64","97,340.74","72,205.12","46,763.62","104,670.47",
Balances with Banks Money at Call and Short Notice,"22,331.29","22,129.66","14,413.60","34,584.02","18,244.61",
Investments,"455,535.69","443,728.29","391,826.66","290,587.88","242,200.24",
Advances,"1,368,820.93","1,132,836.63","993,702.88","819,401.22","658,333.09",
Fixed Assets,"6,083.67","4,909.32","4,431.92","4,030.00","3,607.20",
Other Assets,"85,767.83","45,925.89","53,931.09","49,173.95","36,878.70",
Total Assets,"2,068,535.05","1,746,870.52","1,530,511.26","1,244,540.69","1,063,934.32",
OTHER ADDITIONAL INFORMATION,,,,,,
Number of Branches,"6,342.00","5,608.00","5,416.00","5,103.00","4,787.00",
Number of Employees,"141,579.00","120,093.00","116,971.00","98,061.00","88,253.00",
Capital Adequacy Ratios (%),18.90,18.79,18.52,17.11,14.82,
KEY PERFORMANCE INDICATORS,,,,,,
Tier 1 (%),17.87,17.56,17.23,15.78,13.25,
Tier 2 (%),1.03,1.23,1.29,1.33,1.57,
ASSETS QUALITY,,,,,,
Gross NPA,"16,140.96","15,086.00","12,649.97","11,224.16","8,606.97",
Gross NPA (%),1.00,1.00,1.00,1.00,1.00,
Net NPA,"4,407.68","4,554.82","3,542.36","3,214.52","2,601.02",
Net NPA (%),0.32,0.40,0.36,0.39,0.40,
Net NPA To Advances (%),0.00,0.00,0.00,0.00,0.00,
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
Bills for Collection,"56,968.05","44,748.14","51,584.90","49,952.80","42,753.83",
Contingent Liabilities,"1,395,442.30","971,097.60","1,128,953.40","1,024,715.12","875,488.23",
